id,Evakuasi,kor_lat,kor_lon,Alamat_ID,Alamat_EN
136,Hotel 88 Embong Malang Sby,-7.258,112.734,"The Empire Palace, No. 57-75, Jalan Blauran I, RW 01, Genteng, Surabaya, Jawa Timur, Jawa, 60272, Indonesia","The Empire Palace, No. 57-75, Jalan Blauran I, RW 01, Genteng, Surabaya, East Java, Java, 60272, Indonesia"
137,Exelco- SUB Sentral Tujungan,-7.261,112.741,"Jalan Kenari, RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60011, Indonesia","Jalan Kenari, RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60011, Indonesia"
138,Majapahit Hotel Surabaya- M Gallery Collection,-7.259,112.74,"Hotel Majapahit, 65, Jalan Tunjungan, RW 04, Genteng, Surabaya, Jawa Timur, Jawa, 60275, Indonesia","Hotel Majapahit, 65, Jalan Tunjungan, RW 04, Genteng, Surabaya, East Java, Java, 60275, Indonesia"
139,Dinas Pendidikan Provinsi Jawa Timur,-7.258,112.743,"SMK Rajasa, Jalan Genteng Kali, RW 11, Genteng, Surabaya, Jawa Timur, Jawa, 60274, Indonesia","SMK Rajasa, Jalan Genteng Kali, RW 11, Genteng, Surabaya, East Java, Java, 60274, Indonesia"
140,Gedung Cak Durasim,-7.257,112.738,"Tunjungan Electronic Centre, Jalan Tunjungan, RW 05, Genteng, Surabaya, Jawa Timur, Jawa, 60275, Indonesia","Tunjungan Electronic Centre, Jalan Tunjungan, RW 05, Genteng, Surabaya, East Java, Java, 60275, Indonesia"
141,BG Junction Mall,-7.255,112.734,"Sentra BG Junction, No.8-A, Jalan Kranggan, RW 08, Sawahan, Surabaya, Jawa Timur, Jawa, 60174, Indonesia","Sentra BG Junction, No.8-A, Jalan Kranggan, RW 08, Sawahan, Surabaya, East Java, Java, 60174, Indonesia"
142,Dinas Pemadam Kebakaran Kota Surabaya,-7.249,112.734,"Jalan Pengenal, RW 05, Bubutan, Surabaya, Jawa Timur, Jawa, 60179, Indonesia","Jalan Pengenal, RW 05, Bubutan, Surabaya, East Java, Java, 60179, Indonesia"
143,Gedung Kencana,-7.251,112.735,"Masjid Darul Ulum, Jalan Bubutan Kulon, RW 05, Bubutan, Surabaya, Jawa Timur, Jawa, 60179, Indonesia","Masjid Darul Ulum, Jalan Bubutan Kulon, RW 05, Bubutan, Surabaya, East Java, Java, 60179, Indonesia"
144,Intan Hotel Surabaya Pasar Turi,-7.25,112.733,"Jalan Semarang Gang Buntu, RW 10, Bubutan, Surabaya, Jawa Timur, Jawa, 60179, Indonesia","Jalan Semarang Gang Buntu, RW 10, Bubutan, Surabaya, East Java, Java, 60179, Indonesia"
145,SD-SMP Ktaolik Stella Maris,-7.252,112.734,"SD Negeri Bubutan II, Jalan Koblen Tengah, RW 05, Bubutan, Surabaya, Jawa Timur, Jawa, 60179, Indonesia","SD Negeri Bubutan II, Jalan Koblen Tengah, RW 05, Bubutan, Surabaya, East Java, Java, 60179, Indonesia"
146,PT Gudang Garam,-7.25,112.731,"Jalan Semarang, RW 05, Bubutan, Surabaya, Jawa Timur, Jawa, 60172, Indonesia","Jalan Semarang, RW 05, Bubutan, Surabaya, East Java, Java, 60179, Indonesia"
147,Museum Dr. Soetomo SBY,-7.252,112.735,"Jalan Koblen Tengah, RW 05, Bubutan, Surabaya, Jawa Timur, Jawa, 60179, Indonesia","Jalan Koblen Tengah, RW 05, Bubutan, Surabaya, East Java, Java, 60179, Indonesia"
148,SMK Negeri 7 Surabaya,-7.252,112.73,"RW 03, Bubutan, Surabaya, Jawa Timur, Jawa, 60172, Indonesia","RW 03, Bubutan, Surabaya, East Java, Java, 60172, Indonesia"
149,Asrama Polisi Koblen 7,-7.253,112.732,"TK Kartika IV, Jalan Koblen Kidul, RW 01, Bubutan, Surabaya, Jawa Timur, Jawa, 60179, Indonesia","TK Kartika IV, Jalan Koblen Kidul, RW 01, Bubutan, Surabaya, East Java, Java, 60179, Indonesia"
150,Sentral Tunjungan,-7.262,112.741,"Swiss-Belinn, 101, Jalan Tunjungan, RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60261, Indonesia","Swiss-Belinn, 101, Jalan Tunjungan, RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60261, Indonesia"
151,Swiss- Bellin Tunjungan surabaya,-7.262,112.742,"Warkop Pak No Simpang Dukuh, 7, Jalan Simpang Dukuh, RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60011, Indonesia","Warkop Pak No Simpang Dukuh, 7, Jalan Simpang Dukuh, RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60011, Indonesia"
152,Grand Inna Tunjungan Hotel Surabaya,-7.263,112.742,"Jalan Simpang Dukuh, RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60011, Indonesia","Jalan Simpang Dukuh, RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60011, Indonesia"
153,Stikes - SMK Kesehatan Nusantara,-7.262,112.743,"RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60011, Indonesia","RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60011, Indonesia"
154,SMA Trimurti,-7.263,112.743,"SMA Trimurti, Jalan Simpang Dukuh, RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60011, Indonesia","SMA Trimurti, Jalan Simpang Dukuh, RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60011, Indonesia"
155,Gedung Negara Grahadi,-7.263,112.744,"RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 60011, Indonesia","RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 60011, Indonesia"
156,SMA Negeri 6 Surabaya,-7.264,112.744,"Otoritas Jasa Keuangan, 28-30, Jalan Gubernur Suryo, RW 02, Embong Kaliasin, Genteng, Surabaya, Jawa Timur, Jawa, 68485, Indonesia","Otoritas Jasa Keuangan, 28-30, Jalan Gubernur Suryo, RW 02, Embong Kaliasin, Genteng, Surabaya, East Java, Java, 68485, Indonesia"
