id,Evakuasi,kor_lat,kor_lon,alamat
111,Tunjungan Plaza,-7.263,112.74," Jl. Jenderal Basuki Rachmat No.8-12 lantai 5, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261"
112,Four points by Sheraton Surabaya,-7.262,112.739,"Jl. Embong Malang No.25-31, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261"
113,Tunjungan Hotel Surabaya,-7.262,112.74,"Jl. Tunjungan No.102-104, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261"
114,Gedung Ekonomi,-7.261,112.738,"Jl. Embong Malang No.61-65, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261"
115,Laboratorium Medis Kedungdoro,-7.266,112.732,"Jl. Kedungsari No.84-A, Kedungdoro, Kec. Tegalsari, Surabaya, Jawa Timur 60261"
116,Masjid Khoirul Huda,-7.263,112.735,"Jl. Gubeng Jaya II KA No.1-E, RT.016/RW.02, Gubeng, Kec. Gubeng, Surabaya, Jawa Timur 60281"
117,Midtown Hotel Surabaya,-7.267,112.74,"Jl. Basuki Rahmat No.76, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60262"
118,Favehotel MEX Tunjungan,-7.267,112.74," Jl. Pregolan No.1-3-5, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60271"
119,Kodim 0832 Surabaya Selatan,-7.267,112.736,"Jl. Tegalsari No.89, RT.002/RW.01, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60262"
120,Hotel Bisanta Bidakara Tunjungan,-7.267,112.737,"Jl. Tegalsari No.77-85, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60262"
121,Gereja Kristen Abdiel Elyon,-7.268,112.738,"Jl. Pregolan Bunder No.46-48, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60262"
122,PT. Trust Finance Indonesia,-7.268,112.739,"Jl. Kombes Pol. Moh. Duryat No.14-15 Blok A-10, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60262"
123,Royal Regantris Cendana,-7.268,112.74,"Jl. Kombes Pol. Moh. Duryat No.6, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60262"
124,Gereja Mawar Sharon Surabaya,-7.27,112.738,"Jl. Cempaka No.16-24, Tegalsari, Kec. Tegalsari, Surabaya, Jawa Timur 60262"
125,Masjid Roudlotul falah Sby,-7.243,112.723,"Jl. Prof. DR. Moestopo No.14a, Mojo, Kec. Gubeng, Surabaya, Jawa Timur 60285"
126,Masjid Roudlotul Ulum  Dupak Baru,-7.242,112.722,"Jl. Dupak Baru III No.43, Jepara, Kec. Bubutan, Surabaya, Jawa Timur 60171"
127,Masjid Al-Hilal,-7.238,112.722,"Jl. Raya Purwodadi No.86-88, Jepara, Kec. Bubutan, Surabaya, Jawa Timur 60171"
128,Balai RW VII Kel. Jepara,-7.244,112.729,"Jl. Dupak Jaya No.27, Jepara, Kec. Bubutan, Surabaya, Jawa Timur 60171"
129,Grand Empire Palace Hotel,-7.258,112.734,"Jl. Blauran No.57-75, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60262"
130,SMPN 4 Surabaya,-7.257,112.736,"Jl. Tanjung Anom No.12, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275"
131,Perum Perhutsni divisi Regional Jawa Timur,-7.257,112.743,"Jl. Genteng Kali No.49, Genteng, Surabaya, Jawa Timur 60275"
132,PT Pupuk Indonesia wilayah 3A Jatim,-7.256,112.742,"Jl. Genteng Kali No.55, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275"
133,UPT TAMAN BUDAYA JATIM,-7.256,112.74,"Jl. Genteng Kali No.85, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275"
134,Hotel platinum Tunjungan Sby,-7.257,112.739,"Jl. Tunjungan No.11 - 21, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275"
135,Hotel Paviljoen,-7.259,112.741,"Jl. Genteng Besar No.94-98, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275"
136,Hotel 88 Embong Malang Sby,-7.258,112.734,"Jl. Embong Malang No.84, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60261"
137,Exelco- SUB Sentral Tujungan,-7.261,112.741,"Jl. Tunjungan No.73, Genteng, Kec. Genteng, Surabaya, Jawa Timur 60275"
